日期Date,指数代码Index Code,指数名称Index Name,指数英文名称Index Name(Eng.),成分券代码Constituent Code,成分券名称Constituent Name,成分券英文名称Constituent Name(Eng.),交易所Exchange
2019-08-08,000906,中证800,CSI 800,600000,浦发银行,Shanghai Pudong Development Bank Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600004,白云机场,Guangzhou Baiyun International Airport Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600006,东风汽车,Dongfeng Automobile Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600008,首创股份,Beijing Capital Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600009,上海机场,Shanghai International Airport Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600010,包钢股份,Inner Mongolia Baotou Steel Union Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600011,华能国际,Huaneng Power International Inc,SHH
2019-08-08,000906,中证800,CSI 800,600015,华夏银行,Hua Xia Bank Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600016,民生银行,China Minsheng Banking Corp Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600017,日照港,Rizhao Port Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600018,上港集团,Shanghai International Port (Group) Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600019,宝钢股份,Baoshan Iron &Steel Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600021,上海电力,Shanghai Electric Power Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600022,山东钢铁,SHANDONG IRON AND STEEL COMPANY LTD,SHH
2019-08-08,000906,中证800,CSI 800,600023,浙能电力,"Zhejiang Zheneng Electric Power Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600025,华能水电,HuanengLancang River Hydropower Inc.,SHH
2019-08-08,000906,中证800,CSI 800,600026,中远海能,"COSCO SHIPPING Energy Transportation Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600027,华电国际,Huadian Power International Corporation Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600028,中国石化,China Petroleum & Chemical Corporation,SHH
2019-08-08,000906,中证800,CSI 800,600029,南方航空,China Southern Airlines Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600030,中信证券,CITIC Securities Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600031,三一重工,Sany Heavy Industry Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600036,招商银行,China Merchants Bank Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600037,歌华有线,Beijing Gehua CATV Network Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600038,中直股份,"AVIC Helicopter Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600039,四川路桥,Sichuan Road&Bridge Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600048,保利地产,"Poly Developments and Holdings Group Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600050,中国联通,China United Network Communications Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600053,九鼎投资,"Kunwu Jiuding Investment Holdings Co., Ltd",SHH
2019-08-08,000906,中证800,CSI 800,600056,中国医药,"China Meheco Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600058,五矿发展,Minmetals Development Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600060,海信电器,Hisense Electric Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600061,国投资本,"SDIC Capital Co., Ltd",SHH
2019-08-08,000906,中证800,CSI 800,600062,华润双鹤,"CHINA RESOURCES DOUBLE-CRANE PHARMACEUTICAL CO.,LTD.",SHH
2019-08-08,000906,中证800,CSI 800,600064,南京高科,NANJING GAOKE COMPANY LIMITED,SHH
2019-08-08,000906,中证800,CSI 800,600066,宇通客车,Zhengzhou Yutong Bus Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600068,葛洲坝,China Gezhouba Group Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600073,上海梅林,Shanghai Maling Aquarius Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600079,人福医药,"Humanwell Healthcare (Group) Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600085,同仁堂,Beijing Tongrentang Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600089,特变电工,TBEA Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600094,大名城,Greattown Holdings Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600098,广州发展,Guangzhou Development Group Incorporated,SHH
2019-08-08,000906,中证800,CSI 800,600100,同方股份,Tsinghua Tongfang Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600104,上汽集团,SAIC Motor Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600109,国金证券,Sinolink Securities Co. Ltd.,SHH
2019-08-08,000906,中证800,CSI 800,600111,北方稀土,"China Northern Rare Earth (Group) High-Tech Co.,Ltd",SHH
2019-08-08,000906,中证800,CSI 800,600115,东方航空,China Eastern Airlines Corp Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600118,中国卫星,China Spacesat Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600120,浙江东方,Zhejiang Orient Holdings Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600125,铁龙物流,China Railway Tielong Container Logistics Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600126,杭钢股份,Hang Zhou Iron & Steel Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600138,中青旅,China CYTS Tours Holding Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600141,兴发集团,Hubei Xingfa Chemicals Group Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600143,金发科技,Kingfa Sci&Tech Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600151,航天机电,Shanghai Aerospace Automobile Electromechanical Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600153,建发股份,Xiamen C&D Inc,SHH
2019-08-08,000906,中证800,CSI 800,600155,华创阳安,"Polaris Bay Group Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600158,中体产业,"China Sports Industry Group Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600160,巨化股份,Zhejiang Ju Hua Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600161,天坛生物,Beijing Tiantan Biological Products Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600166,福田汽车,Beiqi Foton Motor Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600167,联美控股,"Luenmei Holding Co.,Ltd",SHH
2019-08-08,000906,中证800,CSI 800,600169,太原重工,Taiyuan Heavy Industry Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600170,上海建工,Shanghai Construction Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600171,上海贝岭,Shanghai Belling Corp Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600176,中国巨石,"CHINA JUSHI CO., LTD.",SHH
2019-08-08,000906,中证800,CSI 800,600177,雅戈尔,Youngor Group Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600179,ST安通,"Antong Holdings Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600183,生益科技,"Shengyi Technology Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600188,兖州煤业,Yanzhou Coal Mining Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600195,中牧股份,China Animal Husbandry Industry Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600196,复星医药,Shanghai Fosun Pharmaceutical (Group) Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600201,生物股份,"Jinyu Bio-Technology Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600208,新湖中宝,Xinhu Zhongbao Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600216,浙江医药,Zhejiang Medicine Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600219,南山铝业,"Shandong Nanshan Aluminium Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600221,海航控股,"Hainan Airlines Holding Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600233,圆通速递,"YTO Express Group Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600258,首旅酒店,"BTG Hotels (Group) Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600259,广晟有色,"Rising Nonferrous Metals Share Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600260,凯乐科技,"Kaile Science and Technology Co.,Ltd.Hubei",SHH
2019-08-08,000906,中证800,CSI 800,600266,北京城建,Beijing Urban Construction Investment & Development Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600267,海正药业,Zhejiang Hisun Pharmaceutical Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600271,航天信息,"Aisino Co.,Ltd",SHH
2019-08-08,000906,中证800,CSI 800,600276,恒瑞医药,Jiangsu Hengrui Medicine Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600277,亿利洁能,ELION CLEAN ENERGY COMPANY LIMITED,SHH
2019-08-08,000906,中证800,CSI 800,600280,中央商场,"Nanjing Central Emporium (Group) Stocks Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600282,南钢股份,Nanjing Iron & Steel Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600291,西水股份,Xishui Strong Year Co Ltd Inner Mongolia,SHH
2019-08-08,000906,中证800,CSI 800,600297,广汇汽车,"China Grand Automotive Services Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600298,安琪酵母,Angel Yeast Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600299,安迪苏,Bluestar Adisseo Company,SHH
2019-08-08,000906,中证800,CSI 800,600307,酒钢宏兴,Gansu Jiu Steel Group Hongxing Iron & Steel Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600309,万华化学,"Wanhua Chemical Group Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600312,平高电气,Henan Pinggao Electric Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600315,上海家化,Shanghai Jahwa United Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600316,洪都航空,Jiangxi Hongdu Aviation Industry Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600317,营口港,Yingkou Port Liability Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600325,华发股份,Huafa Industrial Co Ltd Zhuhai,SHH
2019-08-08,000906,中证800,CSI 800,600329,中新药业,Tianjin Zhongxin Pharmaceutical Group Corporation Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600332,白云山,GUANGZHOU BAIYUNSHAN PHARMACEUTICAL HOLDINGS COMPANY LIMITED,SHH
2019-08-08,000906,中证800,CSI 800,600335,国机汽车,Sinomach Automobile Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600338,西藏珠峰,Tibet Summit Industry Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600339,中油工程,China Petroleum Engineering Corporation,SHH
2019-08-08,000906,中证800,CSI 800,600340,华夏幸福,"China Fortune Land Development Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600346,恒力石化,"Hengli Petrochemical Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600348,阳泉煤业,"Yang Quan Coal Industry (Group) Co., Ltd",SHH
2019-08-08,000906,中证800,CSI 800,600350,山东高速,Shandong Hi-speed Company Limited,SHH
2019-08-08,000906,中证800,CSI 800,600352,浙江龙盛,Zhejiang Longsheng Group Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600362,江西铜业,Jiangxi Copper Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600369,西南证券,Southwest Securities Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600372,中航电子,"CHINA AVIONICS SYSTEMS CO.,LTD.",SHH
2019-08-08,000906,中证800,CSI 800,600373,中文传媒,Chinese Universe Publishing And Media Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600376,首开股份,"Beijing Capital Development Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600380,健康元,Joincare Pharmaceutical Group Industry Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600383,金地集团,Gemdale Corporation,SHH
2019-08-08,000906,中证800,CSI 800,600388,龙净环保,Fujian Longking Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600390,五矿资本,Minmetals Capital Company Limited,SHH
2019-08-08,000906,中证800,CSI 800,600392,盛和资源,"Shenghe Resources Holding Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600393,粤泰股份,"Guangzhou Yuetai Group Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600398,海澜之家,"Heilan Home Co.,Ltd",SHH
2019-08-08,000906,中证800,CSI 800,600406,国电南瑞,"NARI Technology Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600409,三友化工,Tangshan Sanyou Chemical Industries Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600410,华胜天成,Beijing Teamsun Technology Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600415,小商品城,Zhejiang China Commodities City Group Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600416,湘电股份,Xiangtan Electric Manufacturing Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600418,江淮汽车,Anhui Jianghuai Automobile Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600426,华鲁恒升,Shandong Hualu-Hengsheng Chemical Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600428,中远海特,"COSCO SHIPPING Specialized Carriers Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600435,北方导航,"North Navigation Control Technology Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600436,片仔癀,Zhangzhou Pientzehuang Pharmaceutical Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600438,通威股份,Tongwei Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600458,时代新材,Zhuzhou Times New Materials Technology Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600460,士兰微,Hangzhou Silan Microelectronics Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600466,蓝光发展,"SICHUAN LANGUANG DEVELOPMENT CO., LTD.",SHH
2019-08-08,000906,中证800,CSI 800,600478,科力远,"Hunan Corun New Energy Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600482,中国动力,"China Shipbuilding Industry Group Power Co.,Ltd",SHH
2019-08-08,000906,中证800,CSI 800,600486,扬农化工,Jiangsu Yangnong Chemical Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600487,亨通光电,"Hengtong Optic-Electric Co.,Ltd",SHH
2019-08-08,000906,中证800,CSI 800,600489,中金黄金,Zhongjin Gold Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600497,驰宏锌锗,Yunnan Chihong Zinc&Germanium Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600498,烽火通信,Fiberhome Telecommunication Technologies Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600499,科达洁能,"Keda Clean Energy Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600500,中化国际,Sinochem International Corp,SHH
2019-08-08,000906,中证800,CSI 800,600507,方大特钢,"Fangda Special Steel Technology Co.,Ltd",SHH
2019-08-08,000906,中证800,CSI 800,600511,国药股份,China National Medicines Corp Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600515,海航基础,"Hainan HNA Infrastructure Investment Group Co., LTD",SHH
2019-08-08,000906,中证800,CSI 800,600516,方大炭素,"Fangda Carbon New Material Co.,Ltd",SHH
2019-08-08,000906,中证800,CSI 800,600519,贵州茅台,Kweichow Moutai Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600521,华海药业,Zhejiang Huahai Pharmaceutical Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600522,中天科技,Jiangsu Zhongtian Technologies Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600525,长园集团,Changyuan Group Ltd.,SHH
2019-08-08,000906,中证800,CSI 800,600528,中铁工业,China Railway Hi-tech Industry Corporation Limited,SHH
2019-08-08,000906,中证800,CSI 800,600535,天士力,"TASLY PHARMACEUTICAL GROUP CO.,LTD",SHH
2019-08-08,000906,中证800,CSI 800,600536,中国软件,China National Software & Service Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600545,卓郎智能,Saurer Intelligent Technology Co. Ltd.,SHH
2019-08-08,000906,中证800,CSI 800,600547,山东黄金,Shandong Gold-Mining Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600549,厦门钨业,Xiamen Tungsten Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600557,康缘药业,Jiangsu Kanion Pharmaceutical Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600563,法拉电子,"Xiamen Faratronic Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600565,迪马股份,Chongqing Dima Industry Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600566,济川药业,"HUBEI JUMPCAN PHARMACEUTICAL CO., LTD.",SHH
2019-08-08,000906,中证800,CSI 800,600567,山鹰纸业,Anhui Shan Ying Paper Industry Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600570,恒生电子,Hundsun Technologies Inc.,SHH
2019-08-08,000906,中证800,CSI 800,600572,康恩贝,Zhejiang Conba Pharmaceutical Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600575,皖江物流,"Anhui Wanjiang Logistics (Group) Co., Ltd",SHH
2019-08-08,000906,中证800,CSI 800,600580,卧龙电驱,"Wolong Electric Group Co.,Ltd",SHH
2019-08-08,000906,中证800,CSI 800,600582,天地科技,Tiandi Science & Technology Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600583,海油工程,Offshore Oil Engineering Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600584,长电科技,Jiangsu Changjiang Electronics Technology Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600585,海螺水泥,Anhui Conch Cement Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600588,用友网络,"Yonyou Network Technology Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600597,光明乳业,Bright Dairy & Food Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600598,北大荒,Heilongjiang Agriculture Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600606,绿地控股,Greenland Holdings Corporation Limited,SHH
2019-08-08,000906,中证800,CSI 800,600611,大众交通,Dazhong Transportation (Group) Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600623,华谊集团,Shanghai Huayi Group Corporation Limited,SHH
2019-08-08,000906,中证800,CSI 800,600633,浙数文化,"Zhe Jiang Daily Digital Culture Group Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600637,东方明珠,"Shanghai Oriental Pearl Media Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600639,浦东金桥,Shanghai Jinqiao Export Processing Zone Development Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600640,号百控股,"Besttone Holding Co.,Ltd",SHH
2019-08-08,000906,中证800,CSI 800,600642,申能股份,Shenergy Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600643,爱建集团,"SHANGHAI AJ GROUP CO.,LTD.",SHH
2019-08-08,000906,中证800,CSI 800,600645,中源协和,"ZHONGYUAN UNION CELL & GENE ENGINEERING CORP., LTD",SHH
2019-08-08,000906,中证800,CSI 800,600648,外高桥,"SHANGHAI WAIGAOQIAO FREE TRADE ZONE GROUP CO., LTD.",SHH
2019-08-08,000906,中证800,CSI 800,600649,城投控股,"Shanghai Chengtou Holding Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600657,信达地产,"Cinda Real Estate Co.,Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600660,福耀玻璃,"Fuyao Glass Industry Group Co.,Ltd",SHH
2019-08-08,000906,中证800,CSI 800,600663,陆家嘴,Shanghai Lujiazui Finance and Trade Zone Development Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600664,哈药股份,Harbin Pharmaceutical Group Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600673,东阳光,"GUANGDONG HEC TECHNOLOGY HOLDING CO., LTD",SHH
2019-08-08,000906,中证800,CSI 800,600674,川投能源,Sichuan Chuantou Energy Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600688,上海石化,Sinopec Shanghai Petrochemical Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600690,海尔智家,"Haier Smart Home Co., Ltd.",SHH
2019-08-08,000906,中证800,CSI 800,600694,大商股份,Dashang Co Ltd,SHH
2019-08-08,000906,中证800,CSI 800,600699,均胜电子,Ningbo Joyson Electronic Corp.,SHH
2019-08-08,000906,中证800,CSI 800,600703,三安光电,"Sanan Optoelectronics Co.,Ltd",SHH
2019-08-08,000906,中证800,CSI 800,600704,物产中大,Zhejiang Material Industrial Zhongda Yuantong Group Co Ltd,SHH
